cost_id,occurred_at,agent_id,user_id,model,input_tokens,output_tokens,cost_usd
c001,2026-04-20T08:14:30Z,cfo-agent,u001,gemini-2.5-pro,1200,800,0.0145
c002,2026-04-20T08:15:00Z,cfo-agent,u001,gemini-2.5-flash,500,300,0.0021
c003,2026-04-20T09:03:00Z,legal-guide,u002,gemini-2.5-pro,2200,1500,0.027
c004,2026-04-20T09:04:00Z,legal-guide,u002,gemini-2.5-flash-lite,400,200,0.0008
c005,2026-04-21T10:05:00Z,real-estate,u003,gemini-2.5-pro,1800,2200,0.034
c006,2026-04-21T13:02:00Z,cfo-agent,u004,gemini-2.5-pro,1500,1100,0.019
c007,2026-04-21T13:03:00Z,cfo-agent,u004,gemini-2.5-flash,700,500,0.0035
c008,2026-04-22T07:35:00Z,forecaster,u005,gemini-2.5-pro,2500,3000,0.045
c009,2026-04-22T14:12:00Z,interview-simulator,u006,gemini-2.5-pro,3000,3500,0.054
c010,2026-04-22T14:14:00Z,interview-simulator,u006,gemini-2.5-flash,1200,1500,0.008
c011,2026-04-23T08:03:00Z,plan-builder,u007,gemini-2.5-pro,1900,2400,0.036
c012,2026-04-23T11:25:00Z,idea-validator,u008,gemini-2.5-pro,1100,900,0.015
c013,2026-04-23T11:26:00Z,idea-validator,u008,gemini-2.5-flash-lite,300,200,0.0007
c014,2026-04-24T09:18:00Z,cfo-agent,u009,gemini-2.5-pro,1400,1000,0.018
c015,2026-04-24T09:19:00Z,cfo-agent,u009,gemini-2.5-flash,600,400,0.0028
c016,2026-04-24T16:02:00Z,real-estate,u010,gemini-2.5-pro,2000,2500,0.038
c017,2026-04-24T11:00:00Z,admin,u001,gemini-2.5-flash,800,600,0.0042
c018,2026-04-24T12:00:00Z,customer-support,u002,gemini-2.5-flash-lite,500,300,0.001
c019,2026-04-24T13:00:00Z,okr,u004,gemini-2.5-pro,1700,2000,0.031
c020,2026-04-24T14:00:00Z,compliance,u005,gemini-2.5-flash,900,700,0.0049
